datetimeLoc,latitude,longitude,response_time_sec
2019-11-15T09:49:13.503000,38.897211,-76.9780563,938
2019-11-15T11:43:36.496000,38.8758368,-77.234829,416
2019-11-15T11:44:51.889000,38.8763937,-77.2356381,7509
2019-11-15T11:50:54.423000,38.8801988,-77.2697165,1831
2019-11-15T13:22:32.202000,38.9002408,-77.0383978,2105
2019-11-15T13:36:34.859000,38.9288517,-77.03339,749
2019-11-15T13:57:49.085000,38.9000448,-77.0386027,6743
2019-11-15T15:19:18.411000,38.8762515,-77.0069353,9467
2019-11-15T15:42:26.785000,38.9213585,-77.0279111,332
2019-11-15T15:48:29.200000,38.9213438,-77.0280096,1134
2019-11-15T15:49:20.733000,38.9053825,-77.0220275,1646
2019-11-15T15:49:24.142000,38.8741873,-77.0120805,6495
2019-11-15T15:51:32.607000,38.9073186,-77.0229394,2673
2019-11-15T16:08:30.588000,38.8981637,-77.0018344,1089
2019-11-15T16:10:27.390000,38.8861617,-77.0181938,63
2019-11-15T16:11:17.799000,38.9213081,-77.0274502,83
2019-11-15T16:13:33.109000,38.8859579,-77.0184396,1992
2019-11-15T16:15:18.805000,38.9190017,-77.0172183,7754
2019-11-15T16:16:29.009000,38.9213668,-77.0276283,437
2019-11-15T16:16:55.310000,38.90529,-77.0219783,627
2019-11-15T16:18:01.581000,38.9067333,-77.020015,4868
2019-11-15T16:26:41.313000,38.8981167,-77.0014783,56545
2019-11-15T16:28:54.661000,38.9212353,-77.0277035,2413
2019-11-15T16:28:59.634000,38.9187176,-77.0405496,1353
2019-11-15T16:30:10.922000,38.9186383,-77.040585,3502
2019-11-15T16:51:51.878000,38.9186884,-77.0408072,3480
2019-11-15T16:58:42.458000,38.901545,-77.0393233,3885
2019-11-15T17:06:58.417000,38.9081833,-77.0228283,220
2019-11-15T17:09:15.814000,38.9212827,-77.0277313,503
2019-11-15T17:11:07.798000,38.9082369,-77.0227716,710
2019-11-15T17:23:11.978000,38.9084243,-77.0224969,1257
2019-11-15T17:28:59.310000,38.9186667,-77.04064,1157
2019-11-15T17:39:46.911000,38.8756607,-77.0123049,869
2019-11-15T17:46:19.476000,38.9096267,-77.0227117,488
2019-11-15T17:47:48.984000,38.9016347,-76.985401,106307
2019-11-15T17:49:49.563000,38.9204078,-77.0471198,994
2019-11-15T17:54:19.130000,38.8995543,-77.0176016,1099
2019-11-15T17:54:50.539000,38.8754433,-77.0122279,8311
2019-11-15T17:56:45.278000,38.9084004,-77.0218229,948
2019-11-15T17:57:25.956000,38.876276,-77.0069414,761
2019-11-15T18:25:03.078000,38.9189507,-77.0171921,2226
2019-11-15T18:58:16.002000,38.9236922,-77.0409566,4307
2019-11-15T19:02:40.784000,38.9188646,-77.0171508,769
2019-11-15T19:05:32.487000,38.8632617,-76.9648817,59165
2019-11-15T19:13:14,38.9186666,-77.0406535,373
2019-11-15T19:13:35.960000,38.9186333,-77.0407533,361
2019-11-15T19:14:16.201000,38.9186594,-77.0408152,380
2019-11-15T19:16:14.909000,38.8787396,-77.0174024,1991
2019-11-15T19:16:28.561000,38.9189486,-77.0171855,288
2019-11-15T19:49:38.944000,38.8786363,-77.0173702,45292
2019-11-15T19:50:06.016000,38.9057039,-77.0056419,262
2019-11-15T19:51:53.018000,38.8999849,-77.0261827,49842
2019-11-15T19:55:19.810000,38.9051317,-77.0601317,463
2019-11-15T19:56:55.190000,38.9075927,-77.0218335,204
2019-11-15T20:22:27.251000,38.9023499,-77.0322365,5274
2019-11-15T20:32:48.674000,38.9051015,-77.0251936,70699
2019-11-15T20:33:15.983000,38.9056634,-77.0060517,3471
2019-11-15T20:39:46.912000,38.8957187,-77.0436147,175
2019-11-15T20:48:21.458000,38.9050383,-77.0513032,62
2019-11-15T20:52:11.812000,38.8755413,-77.0122049,1001
2019-11-15T21:09:29.273000,38.8756214,-77.0115135,2210
2019-11-15T21:10:40.557000,38.9069549,-77.0420118,7041
2019-11-15T21:31:41.104000,38.9055741,-77.0063054,42989
2019-11-15T21:37:25.989000,38.8862109,-77.0178834,26353
2019-11-15T21:52:25.869000,38.8921719,-77.0278588,973
2019-11-15T22:47:59.792000,38.9077494,-77.0644806,53518
2019-11-15T22:48:14.303000,38.903675,-77.0539567,6129
2019-11-15T22:58:28.624000,38.9050272,-77.0573089,31646
2019-11-15T23:04:25.715000,38.9169123,-77.029941,4171
2019-11-15T23:18:13.610000,38.8999596,-77.0049876,1153
2019-11-15T23:28:56.075000,38.9058548,-77.0236936,34179
2019-11-15T23:37:32.988000,38.9157826,-77.072769,39208
2019-11-15T23:44:14.004000,38.9008026,-77.0533165,37062
2019-11-16T00:00:36.497000,38.9171717,-77.0307767,31335
2019-11-16T00:20:58.217000,38.9116087,-77.0384672,27467
2019-11-16T00:52:02.957000,38.8998433,-77.0258166,8603
2019-11-16T01:11:20.949000,38.9170788,-77.0305318,30300
2019-11-16T01:26:49.522000,38.9086467,-77.027575,42669
2019-11-16T01:37:14.522000,38.9213162,-77.0422296,319
2019-11-16T03:01:30.023000,38.9025478,-77.0323188,282
2019-11-16T03:06:40.921000,38.8989649,-77.05005,3337
2019-11-16T03:54:59.272000,38.9037946,-77.0534313,14798
2019-11-16T04:19:01.989000,38.9038867,-77.0280433,12455
2019-11-16T05:05:11.417000,38.9008233,-77.0417033,22912
2019-11-16T05:33:21.414000,38.8947267,-77.0156217,11115
2019-11-16T07:30:55.359000,38.9044017,-77.0557567,798
2019-11-16T07:37:17.954000,38.9265195,-77.0120262,491
2019-11-16T08:31:13.071000,38.922226,-77.0426923,2727
2019-11-16T08:38:44.173000,38.8945896,-77.0152107,5026
2019-11-16T09:37:50.970000,38.9025556,-77.0324236,1009
2019-11-16T10:03:12.584000,38.8948607,-77.0155268,1242
2019-11-16T10:14:40.852000,38.9048002,-77.0572896,5107
2019-11-16T10:24:17.794000,38.9182427,-77.072909,475
2019-11-16T10:30:21.957000,38.9027435,-77.0325086,3214
